"","pres","longitude","latitude","optional"
"462",1,1140789.84501908,-4803756.76546588,TRUE
"463",1,1102611.10941456,-4761606.34598155,TRUE
"464",1,1128086.40320366,-4869255.91306828,TRUE
"465",1,1116692.96773672,-4763078.2172576,TRUE
"466",1,1136367.61725408,-4761395.57915623,TRUE
"467",1,1129558.39205705,-4815907.14077594,TRUE
"468",1,1044480.08047471,-4759538.09757083,TRUE
"469",1,1146460.73853364,-4855939.59562472,TRUE
"470",1,1146018.64806947,-4794786.02765151,TRUE
"471",1,1139962.22551028,-4765465.38454291,TRUE
"472",1,1153984.95944894,-4873068.56312194,TRUE
"473",1,1143464.52966784,-4857526.31787059,TRUE
"474",1,1135401.13650881,-4761253.4556519,TRUE
"475",1,1115911.62753875,-4890927.78485568,TRUE
"476",1,1153984.95944894,-4873068.56312194,TRUE
"477",1,1169942.0730065,-4855045.53151128,TRUE
"478",1,1151770.99144232,-4759573.8523354,TRUE
"479",1,1151257.98474802,-4873685.98430966,TRUE
"480",1,1159644.46340466,-4800083.99306662,TRUE
"481",1,1212068.99282067,-4778577.98728782,TRUE
"482",1,1078616.38999428,-4790946.44150944,TRUE
"483",1,1105474.18484563,-4897009.263115,TRUE
"484",1,1105474.18484563,-4897009.263115,TRUE
"485",1,1088884.59753258,-4893833.89173168,TRUE
"486",1,1116269.64576771,-4719049.29285354,TRUE
"487",1,1117141.89412776,-4719550.16572786,TRUE
"488",1,1154570.21237698,-4872131.63803937,TRUE
"489",1,1096152.45503764,-4794825.25685394,TRUE
"490",1,1155011.30670873,-4757024.68964102,TRUE
"491",1,1126692.27664336,-4869106.28449013,TRUE
"492",1,1151613.03611624,-4873474.90148508,TRUE
"493",1,1062858.72951303,-4780514.36075622,TRUE
"494",1,1047187.37091186,-4746489.00555182,TRUE
"495",1,1111613.47127283,-4938077.51714156,TRUE
"496",1,1158938.4997644,-4737705.71792008,TRUE
"497",1,1151288.88360954,-4873574.4156422,TRUE
"498",1,1148634.37450564,-4861914.36948954,TRUE
"499",1,1044480.08047471,-4759538.09757083,TRUE
"500",1,1114704.38435017,-4860587.84988553,TRUE
"501",1,1089450.23752435,-4902346.99007099,TRUE
